time,flyMode,height,verticalSpeed,flySpeed,eastSpeed,northSpeed,flyTime,flying,downVisualState,droneHover,eMOpen,onGround,pressureState,batteryPercentage,batteryLow,batteryLower,batteryState,powerState,droneBatteryLeft,droneFlyTimeLeft,cameraState,electricalMachineryState,factoryMode,frontIn,frontLSC,frontOut,gravityState,imuCalibrationState,imuState,lightStrength,outageRecording,smartVideoExitMode,temperatureHeight,throwFlyTimer,wifiDisturb,wifiStrength,windState,velX,velY,velZ,posX,posY,posZ,posUncertainty,velN,velE,velD,quatX,quatY,quatZ,quatW,
00:00:96,6,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,4241,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:01:26,6,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,4241,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:01:29,6,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,4243,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:01:29,6,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,4243,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:01:29,6,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,4243,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:01:37,6,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,4243,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:01:47,6,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,4243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01958215,0.003999376,-0.005054159,0.01,1.215394E-05,-6.047496E-05,-0.0005923141,0.0001028957,0.001531272,-0.2193998,0.9756339,
00:01:57,6,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,4243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01958215,0.003999376,-0.005054159,0.01,-9.650725E-06,0.00032784,-0.0005746169,0.0001104119,0.00155162,-0.2194043,0.9756328,
00:01:62,6,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,4243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01958204,0.003998514,-0.005055241,0.01,-2.761451E-05,0.0005975742,-5.997624E-05,0.0001108391,0.001564496,-0.219425,0.9756281,
00:01:72,6,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,4243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01958204,0.003998514,-0.005055241,0.01,0.0001271975,0.000196197,0.0003042341,0.0001283153,0.00153421,-0.2194306,0.9756269,
