time,flyMode,height,verticalSpeed,flySpeed,eastSpeed,northSpeed,flyTime,flying,downVisualState,droneHover,eMOpen,onGround,pressureState,batteryPercentage,batteryLow,batteryLower,batteryState,powerState,droneBatteryLeft,droneFlyTimeLeft,cameraState,electricalMachineryState,factoryMode,frontIn,frontLSC,frontOut,gravityState,imuCalibrationState,imuState,lightStrength,outageRecording,smartVideoExitMode,temperatureHeight,throwFlyTimer,wifiDisturb,wifiStrength,windState,velX,velY,velZ,posX,posY,posZ,posUncertainty,velN,velE,velD,quatX,quatY,quatZ,quatW,
00:00:52,6,0,0,0,0,0,608,0,0,0,0,0,0,81,0,0,0,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:00:57,6,0,0,0,0,0,608,0,0,0,0,0,0,81,0,0,0,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0003707455,0.001032366,-0.001124543,-0.003319519,-0.009291211,-0.02955189,0.9995146,
00:00:62,6,0,0,0,0,0,608,0,0,0,0,0,0,81,0,0,0,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01677069,0.01099909,-0.004771161,0.01,0.0009931073,0.0005829401,-0.0007293531,-0.003316731,-0.009307392,-0.02953908,0.9995148,
00:00:73,6,0,0,0,0,0,608,0,0,0,0,0,0,81,0,0,0,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01677069,0.01099909,-0.004771161,0.01,0.001030694,0.0006186839,-0.001596895,-0.003331645,-0.009294668,-0.02950909,0.9995158,
00:00:92,6,0,0,0,0,0,608,0,0,0,0,0,0,81,0,0,0,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01676925,0.01100092,-0.00477201,0.01,0.0008065724,0.001109135,-0.001256704,-0.003319984,-0.009284383,-0.02948356,0.9995167,
00:00:94,6,0,0,0,0,0,608,0,0,0,0,0,0,81,0,0,0,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01676925,0.01100092,-0.00477201,0.01,0.0005891441,0.0007631552,-0.0005620663,-0.003321339,-0.009285284,-0.02948356,0.9995167,
00:01:03,6,0,0,0,0,0,608,0,0,0,0,0,0,81,0,0,0,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01676945,0.01100047,-0.004772357,0.01,0.0007983901,0.0006658256,0.0001734871,-0.003351421,-0.009295761,-0.02948774,0.9995163,
00:01:13,6,0,0,0,0,0,608,0,0,0,0,0,0,81,0,0,0,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01676945,0.01100047,-0.004772357,0.01,0.0008590692,0.0004728362,9.835174E-06,-0.003361056,-0.0092931,-0.02950625,0.9995158,
00:01:24,6,0,0,0,0,0,608,0,0,0,0,0,0,81,0,0,0,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01676983,0.0109993,-0.004773721,0.01,0.0009681934,0.0001878541,-2.132737E-05,-0.003368759,-0.00926608,-0.02951782,0.9995157,
00:01:33,6,0,0,0,0,0,608,0,0,0,0,0,0,81,0,0,0,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01676983,0.0109993,-0.004773721,0.01,0.0007572009,0.0008251832,-0.0001065779,-0.003353371,-0.009262922,-0.02952946,0.9995154,
00:01:44,6,0,0,0,0,0,608,0,0,0,0,0,0,81,0,0,0,0,4113,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01677054,0.01099805,-0.00477408,0.01,0.0009594795,0.0007769459,-5.13806E-05,-0.00335753,-0.009246932,-0.0295585,0.9995146,
