time,flyMode,height,verticalSpeed,flySpeed,eastSpeed,northSpeed,flyTime,flying,downVisualState,droneHover,eMOpen,onGround,pressureState,batteryPercentage,batteryLow,batteryLower,batteryState,powerState,droneBatteryLeft,droneFlyTimeLeft,cameraState,electricalMachineryState,factoryMode,frontIn,frontLSC,frontOut,gravityState,imuCalibrationState,imuState,lightStrength,outageRecording,smartVideoExitMode,temperatureHeight,throwFlyTimer,wifiDisturb,wifiStrength,windState,velX,velY,velZ,posX,posY,posZ,posUncertainty,velN,velE,velD,quatX,quatY,quatZ,quatW,
00:00:50,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,3648,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:00:56,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,3648,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:00:64,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,3648,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:00:75,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,3648,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:00:85,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,3648,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:00:96,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,3648,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:01:06,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,3648,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0.01614998,0.01186316,-0.004841873,0.01,-7.830829E-06,0.0001953525,-0.001077878,-0.0006196541,-0.005378225,-0.004066461,0.9999771,
00:01:16,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,3648,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0.01614998,0.01186316,-0.004841873,0.01,-0.0002520625,0.000144849,-0.0007635615,-0.0006113643,-0.005350458,-0.004078282,0.9999772,
00:01:26,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,3648,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0.01615011,0.01186248,-0.004843092,0.01,6.555382E-05,0.0001680594,-0.00067651,-0.0006097636,-0.005332944,-0.004090755,0.9999772,
00:01:36,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,3648,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0.01615011,0.01186248,-0.004843092,0.01,-0.0001379097,7.845141E-05,-0.0004256182,-0.0006110397,-0.00531815,-0.004112113,0.9999772,
