time,flyMode,height,verticalSpeed,flySpeed,eastSpeed,northSpeed,flyTime,flying,downVisualState,droneHover,eMOpen,onGround,pressureState,batteryPercentage,batteryLow,batteryLower,batteryState,powerState,droneBatteryLeft,droneFlyTimeLeft,cameraState,electricalMachineryState,factoryMode,frontIn,frontLSC,frontOut,gravityState,imuCalibrationState,imuState,lightStrength,outageRecording,smartVideoExitMode,temperatureHeight,throwFlyTimer,wifiDisturb,wifiStrength,windState,velX,velY,velZ,posX,posY,posZ,posUncertainty,velN,velE,velD,quatX,quatY,quatZ,quatW,
00:03:97,6,0,0,0,0,0,2970,1,0,0,1,0,0,51,0,0,0,0,3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0007598576,0.04376199,-0.03981783,-0.005589799,-0.006096267,-0.1059026,0.9943421,
00:04:06,6,0,0,0,0,0,2971,1,0,0,1,0,0,51,0,0,0,0,3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,-105,52.18578,-47.93568,-22.02137,0.012769,0.01468248,0.0294048,-0.07967696,-0.008560125,-0.008836448,-0.1056492,0.9943274,
00:04:16,6,0,0,0,0,0,2972,1,0,0,1,0,0,51,0,0,0,0,3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,-105,52.18578,-47.93568,-22.02137,0.012769,0.01617992,0.009138744,-0.08177321,-0.00530932,-0.004643231,-0.1062366,0.9943159,
00:04:27,6,1,0,0,0,0,2973,1,0,0,1,0,0,51,0,0,0,0,3633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,-6,-108,52.18797,-47.93414,-22.0432,0.01354896,0.01558684,0.004899516,-0.08666703,-0.002234607,-0.004920165,-0.1061554,0.9943349,
00:04:37,6,1,0,0,0,0,2974,1,0,0,1,0,0,51,0,0,0,0,3633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,16,-6,-108,52.18797,-47.93414,-22.0432,0.01354896,0.02041776,0.001958302,-0.08000536,-0.002280059,-0.004367505,-0.1061746,0.9943354,
00:04:47,6,1,0,0,0,0,2975,1,0,0,1,0,0,51,0,0,0,0,3633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,-1,18,28,52.18678,-47.93173,-22.04237,0.013456,0.01321663,0.01883666,0.00365397,-0.002438408,-0.001916549,-0.1058117,0.9943813,
00:04:57,6,0,0,0,0,0,2976,1,0,0,1,0,0,51,0,0,0,0,3633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,-1,18,28,52.18678,-47.93173,-22.04237,0.013456,0.0001920105,0.01431767,0.05354494,-0.008897237,-0.007364462,-0.1053343,0.9943698,
00:04:68,6,0,1,0,0,0,2977,1,0,0,1,0,0,51,0,0,0,0,3633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,-11,0,194,52.18314,-47.93048,-22.00227,0.01192464,-0.002922989,0.005992726,0.1142124,-0.006260417,-0.009619535,-0.1055769,0.9943449,
00:04:73,6,0,1,0,0,0,2978,1,0,0,1,0,0,51,0,0,0,0,3633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,-11,0,194,52.18314,-47.93048,-22.00227,0.01192464,0.008469726,0.002509423,0.1061481,-0.003189562,-0.01019638,-0.1054228,0.9943701,
00:04:83,6,0,1,0,0,0,2979,1,0,0,1,0,0,51,0,0,0,0,3633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,-1,-7,183,52.17872,-47.93198,-21.95848,0.01073296,0.0145932,0.005047722,0.1264338,-0.00317161,-0.007052667,-0.1053742,0.9944026,
00:04:93,6,0,1,0,0,0,2980,1,0,0,1,0,0,51,0,0,0,0,3633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,-1,-7,183,52.17872,-47.93198,-21.95848,0.01073296,0.01180065,0.006045849,0.1177141,-0.005083129,-0.005946285,-0.1049534,0.9944464,
