time,flyMode,height,verticalSpeed,flySpeed,eastSpeed,northSpeed,flyTime,flying,downVisualState,droneHover,eMOpen,onGround,pressureState,batteryPercentage,batteryLow,batteryLower,batteryState,powerState,droneBatteryLeft,droneFlyTimeLeft,cameraState,electricalMachineryState,factoryMode,frontIn,frontLSC,frontOut,gravityState,imuCalibrationState,imuState,lightStrength,outageRecording,smartVideoExitMode,temperatureHeight,throwFlyTimer,wifiDisturb,wifiStrength,windState,velX,velY,velZ,posX,posY,posZ,posUncertainty,velN,velE,velD,quatX,quatY,quatZ,quatW,
00:01:10,6,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,3701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:01:63,6,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,3701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005733167,0.01919457,-0.00486822,0.01,-0.004477905,-0.004008497,0.001066359,-0.0008814984,-0.007020738,0.3146211,0.949191,
00:01:65,6,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,3701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005733167,0.01919457,-0.00486822,0.01,-0.004334232,-0.00128121,0.001220406,-0.0008726367,-0.006977168,0.3145911,0.9492013,
00:01:67,6,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,3701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005735561,0.01919388,-0.004868111,0.01,-0.005130014,-0.006933982,0.0002958695,-0.0008617707,-0.006996477,0.3145548,0.9492133,
00:01:68,6,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,3701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0.005735561,0.01919388,-0.004868111,0.01,-0.004260644,-0.001936572,0.0002654614,-0.0008327041,-0.007006379,0.3145419,0.9492174,
00:01:76,6,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,3701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0.005739201,0.01919314,-0.004866727,0.01,-0.00421446,-0.001411947,-0.0009841161,-0.0008402101,-0.007024976,0.3144694,0.9492412,
00:02:24,6,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,3701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0.005739201,0.01919314,-0.004866727,0.01,-0.004531017,-0.004732138,-0.001129931,-0.0008618869,-0.00699212,0.3144852,0.9492363,
00:02:31,6,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,3703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0.005738927,0.01919331,-0.004866385,0.01,-0.004351411,-0.003663616,-0.0007107234,-0.0008255053,-0.007018852,0.3144736,0.9492399,
00:02:86,6,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,3703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0.005737629,0.01919374,-0.004866187,0.01,-0.004317895,-0.003759827,-0.0004740366,-0.0008153043,-0.007013264,0.3145036,0.9492301,
00:02:87,6,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,3703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0.005737629,0.01919374,-0.004866187,0.01,-0.004999316,-0.004393097,-0.0009493188,-0.0008182316,-0.006990189,0.3145314,0.949221,
00:02:98,6,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,3703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0.005737547,0.01919345,-0.004867451,0.01,-0.00427449,-0.004432964,-0.0005445675,-0.0008862063,-0.007059797,0.314522,0.9492235,
00:03:48,6,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,3703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0.005737547,0.01919345,-0.004867451,0.01,-0.00395315,-0.003643844,-0.0005022285,-0.0008882282,-0.00702965,0.3144892,0.9492346,
